# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-F" "GFF3" "-t" "gene" "-g" "locus_tag" "-a" "/home/sararomi/Opemidimeji_2/ref/genome_fixed.gff3" "-o" "/home/sararomi/Opemidimeji_2/results/counts/gene_counts.txt" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam" "/home/sararomi/Opemidimeji_2/results/mapping/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq.sorted.bam	/home/sararomi/Opemidimeji_2/results/mapping/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq.sorted.bam
SAUSA300_RS00010	NC_007793.1	544	1905	+	1362	0	0	0	0	0	0	0
SAUSA300_RS00015	NC_007793.1	2183	3316	+	1134	0	0	0	0	0	0	0
SAUSA300_RS00020	NC_007793.1	3697	3942	+	246	0	0	0	0	0	0	0
SAUSA300_RS00025	NC_007793.1	3939	5051	+	1113	0	0	0	0	0	0	0
SAUSA300_RS00030	NC_007793.1	5061	6995	+	1935	0	0	0	0	0	0	0
SAUSA300_RS00035	NC_007793.1	7032	9695	+	2664	0	0	0	0	0	0	0
SAUSA300_RS00040	NC_007793.1	9782	10594	-	813	0	0	0	0	0	0	0
SAUSA300_RS00045	NC_007793.1	10920	12434	+	1515	0	0	0	0	0	0	0
SAUSA300_RS00050	NC_007793.1	12813	14099	+	1287	0	0	0	0	0	0	0
SAUSA300_RS00055	NC_007793.1	14749	15444	+	696	0	0	0	0	0	0	0
SAUSA300_RS00060	NC_007793.1	15441	15770	+	330	0	0	0	0	0	0	0
SAUSA300_RS00065	NC_007793.1	16133	17101	+	969	0	0	0	0	0	0	0
SAUSA300_RS00070	NC_007793.1	17392	18330	+	939	0	0	0	0	0	0	0
SAUSA300_RS00075	NC_007793.1	18345	20312	+	1968	0	0	0	0	0	0	0
SAUSA300_RS00080	NC_007793.1	20309	20755	+	447	0	0	0	0	0	0	0
SAUSA300_RS00085	NC_007793.1	20787	22187	+	1401	0	0	0	0	0	0	0
SAUSA300_RS00090	NC_007793.1	22465	23748	+	1284	0	0	0	0	0	0	0
SAUSA300_RS00095	NC_007793.1	24178	24252	+	75	0	0	0	0	0	0	0
SAUSA300_RS00100	NC_007793.1	24260	24332	+	73	0	0	0	0	0	0	0
SAUSA300_RS00105	NC_007793.1	24952	25653	+	702	0	0	0	0	0	0	0
SAUSA300_RS00110	NC_007793.1	25666	27492	+	1827	0	0	0	0	0	0	0
SAUSA300_RS00115	NC_007793.1	27485	28819	+	1335	0	0	0	0	0	0	0
SAUSA300_RS00120	NC_007793.1	28820	29608	+	789	0	0	0	0	0	0	0
SAUSA300_RS00125	NC_007793.1	29998	30798	+	801	0	0	0	0	0	0	0
SAUSA300_RS00130	NC_007793.1	31026	33344	+	2319	0	0	0	0	0	0	0
SAUSA300_RS00135	NC_007793.1	33712	34191	+	480	0	0	0	0	0	0	0
SAUSA300_RS00140	NC_007793.1	34513	35769	+	1257	0	0	0	0	0	0	0
SAUSA300_RS00145	NC_007793.1	35877	36551	-	675	0	0	0	0	0	0	0
SAUSA300_RS14955	NC_007793.1	36587	36976	+	390	0	0	0	0	0	0	0
SAUSA300_RS00155	NC_007793.1	37813	38556	+	744	0	0	0	0	0	0	0
SAUSA300_RS00160	NC_007793.1	38653	39081	+	429	0	0	0	0	0	0	0
SAUSA300_RS00165	NC_007793.1	39127	41136	-	2010	0	0	0	0	0	0	0
SAUSA300_RS00170	NC_007793.1	41233	42219	+	987	0	0	0	0	0	0	0
SAUSA300_RS00185	NC_007793.1	44101	44607	-	507	0	0	0	0	0	0	0
SAUSA300_RS00190	NC_007793.1	44622	44933	-	312	0	0	0	0	0	0	0
SAUSA300_RS00195	NC_007793.1	45020	45370	-	351	0	0	0	0	0	0	0
SAUSA300_RS00200	NC_007793.1	45892	47520	-	1629	0	0	0	0	0	0	0
SAUSA300_RS00205	NC_007793.1	47542	48891	-	1350	0	0	0	0	0	0	0
SAUSA300_RS00210	NC_007793.1	49125	50912	-	1788	0	0	0	0	0	0	0
SAUSA300_RS00215	NC_007793.1	50912	51202	-	291	0	0	0	0	0	0	0
SAUSA300_RS00220	NC_007793.1	51341	52390	+	1050	0	0	0	0	0	0	0
SAUSA300_RS00225	NC_007793.1	53118	54608	+	1491	0	0	0	0	0	0	0
SAUSA300_RS15865	NC_007793.1	56355	56492	+	138	0	0	0	0	0	0	0
SAUSA300_RS00240	NC_007793.1	56489	56860	+	372	0	0	0	0	0	0	0
SAUSA300_RS00245	NC_007793.1	56989	57609	+	621	0	0	0	0	0	0	0
SAUSA300_RS15870	NC_007793.1	58526	58696	-	171	0	0	0	0	0	0	0
SAUSA300_RS00250	NC_007793.1	59098	60063	+	966	0	0	0	0	0	0	0
SAUSA300_RS00255	NC_007793.1	60160	60351	+	192	0	0	0	0	0	0	0
SAUSA300_RS00260	NC_007793.1	60443	60772	+	330	0	0	0	0	0	0	0
SAUSA300_RS00265	NC_007793.1	60849	61208	-	360	0	0	0	0	0	0	0
SAUSA300_RS00275	NC_007793.1	63100	63597	-	498	0	0	0	0	0	0	0
SAUSA300_RS16055	NC_007793.1	63785	63913	-	129	0	0	0	0	0	0	0
